uf60,code_muni_1960,name_muni_1960,ordem,name_district_1960,pop_total,pop_urbana,pop_rural,domicilios,pagina,nota
81,8412,Montenegro,0,Montenegro,56953,17882,39071,,,municipio em que os codigos do livro nao sobem com as linhas
81,8412,Montenegro,1,Montenegro,26348,14491,11857,,,municipio em que os codigos do livro nao sobem com as linhas
81,8412,Montenegro,2,Barão,2871,262,2609,,,municipio em que os codigos do livro nao sobem com as linhas
81,8412,Montenegro,3,Brochier,4799,364,4435,,,municipio em que os codigos do livro nao sobem com as linhas
81,8412,Montenegro,4,Harmonia,3669,409,3260,,,municipio em que os codigos do livro nao sobem com as linhas
81,8412,Montenegro,5,Maratá,3900,446,3454,,,municipio em que os codigos do livro nao sobem com as linhas
81,8412,Montenegro,6,Pareci Novo,2728,529,2199,,,municipio em que os codigos do livro nao sobem com as linhas
81,8412,Montenegro,7,Poço das Antas,4318,450,3868,,,municipio em que os codigos do livro nao sobem com as linhas
81,8412,Montenegro,8,São Salvador,4914,597,4317,,,municipio em que os codigos do livro nao sobem com as linhas
81,8412,Montenegro,9,Tupandi,3406,334,3072,,,municipio em que os codigos do livro nao sobem com as linhas
81,8414,Novo Hamburgo,0,Novo Hamburgo,53916,45344,8572,,,municipio em que os codigos do livro nao sobem com as linhas
81,8414,Novo Hamburgo,1,Novo Hamburgo,26966,25610,1356,,,municipio em que os codigos do livro nao sobem com as linhas
81,8414,Novo Hamburgo,2,Floresta Imperial,7247,7121,126,,,municipio em que os codigos do livro nao sobem com as linhas
81,8414,Novo Hamburgo,3,Hamburgo Velho,16013,11995,4018,,,municipio em que os codigos do livro nao sobem com as linhas
81,8414,Novo Hamburgo,4,Lomba Grande,3690,618,3072,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,0,Santa Cruz do Sul,76854,22026,54828,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,1,Santa Cruz do Sul,33195,18898,14297,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,2,Boa Vista,2420,270,2150,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,3,Ervoiras,5597,140,5457,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,4,Fontoura Gonçalves,2406,135,2271,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,5,Formosa,2844,113,2731,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,6,Gramado Xavier,3544,146,3398,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,7,Monte Alverne,9423,372,9051,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,8,Rio Pardinho,2386,309,2077,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,9,Serafim Schmidt,2505,262,2243,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,10,Sinimbu,6793,649,6144,,,municipio em que os codigos do livro nao sobem com as linhas
81,8417,Santa Cruz do Sul,11,Trombudo,5741,732,5009,,,municipio em que os codigos do livro nao sobem com as linhas
81,8421,São Sebastião do Caí,0,São Sebastião do Caí,27768,8544,19224,,,municipio em que os codigos do livro nao sobem com as linhas
81,8421,São Sebastião do Caí,1,São Sebastião do Caí,8145,4749,3396,,,municipio em que os codigos do livro nao sobem com as linhas
81,8421,São Sebastião do Caí,2,Bom Princípio,4406,626,3780,,,municipio em que os codigos do livro nao sobem com as linhas
81,8421,São Sebastião do Caí,3,Capela de Santana,6309,786,5523,,,municipio em que os codigos do livro nao sobem com as linhas
81,8421,São Sebastião do Caí,4,Portão,4454,719,3735,,,municipio em que os codigos do livro nao sobem com as linhas
81,8421,São Sebastião do Caí,5,São José do Hortêncio,2836,735,2101,,,municipio em que os codigos do livro nao sobem com as linhas
81,8421,São Sebastião do Caí,6,São Vendelino,1618,929,689,,,municipio em que os codigos do livro nao sobem com as linhas
81,8554,Pelotas,0,Pelotas,178265,129517,48748,,,municipio em que os codigos do livro nao sobem com as linhas
81,8554,Pelotas,1,Pelotas,122024,121280,744,,,municipio em que os codigos do livro nao sobem com as linhas
81,8554,Pelotas,2,Capão do Leão,14674,2804,11870,,,municipio em que os codigos do livro nao sobem com as linhas
