quesito,variavel,codigo,rotulo,grupo,subgrupo,pagina,nota
V,V221,271,Religiosos,"2. Ocupações técnicas, científicas e trabalhadores afins",Religiosos,10,
V,V221,281,Escritores e jornalistas,"2. Ocupações técnicas, científicas e trabalhadores afins",Escritores e jornalistas,10,
V,V221,291,Escultores e pintores,"2. Ocupações técnicas, científicas e trabalhadores afins",Outros profissionais técnicos,10,
V,V221,292,Técnicos de publicidade,"2. Ocupações técnicas, científicas e trabalhadores afins",Outros profissionais técnicos,10,
V,V221,293,Decoradores e cenógrafos,"2. Ocupações técnicas, científicas e trabalhadores afins",Outros profissionais técnicos,10,
V,V221,294,Cinegrafistas,"2. Ocupações técnicas, científicas e trabalhadores afins",Outros profissionais técnicos,10,
V,V221,295,Fotógrafos,"2. Ocupações técnicas, científicas e trabalhadores afins",Outros profissionais técnicos,10,
V,V221,311,Técnicos agrícolas e práticos rurais,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Trabalhadores agrícolas e práticos,11,
V,V221,312,Tratoristas,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Trabalhadores agrícolas e práticos,11,
V,V221,313,Aradores,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Trabalhadores agrícolas e práticos,11,
V,V221,321,"Chacareiros, hortelãos e floricultores",3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Outras ocupações relativas à agricultura e à pecuária,11,
V,V221,322,Jardineiros,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Outras ocupações relativas à agricultura e à pecuária,11,
V,V221,323,Trabalhadores agrícolas e de enxada,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Outras ocupações relativas à agricultura e à pecuária,11,
V,V221,324,Trabalhadores de pecuária,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Outras ocupações relativas à agricultura e à pecuária,11,
V,V221,331,Pescadores,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Pescadores e caçadores,11,
V,V221,332,Caçadores,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Pescadores e caçadores,11,
V,V221,341,Madeireiros e lenhadores,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Trabalhadores florestais e afins,11,
V,V221,342,Carvoeiros (fabricantes),3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Trabalhadores florestais e afins,11,
V,V221,343,Seringueiros,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Trabalhadores florestais e afins,11,
V,V221,344,Ervateiros,3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Trabalhadores florestais e afins,11,
V,V221,345,"Apanhadores, descascadores e quebradores de produtos vegetais",3. Ocupações relativas à produção agrícola e extrativa (vegetal e animal),Trabalhadores florestais e afins,11,
