uf60,code_muni_1960,name_muni_1960,code_district_1960,domicilios
40,4601,Barbacena,3,173
71,7104,Paranaguá,5,173
71,7200,Cruz Machado,5,173
81,8130,Bom Jesus,5,173
40,4212,Coração de Jesus,5,172
40,4705,Bom Sucesso,5,172
19,1976,Patos,9,172
52,5238,Sapucaia,7,172
81,8329,Três Passos,9,172
14,1564,Morada Nova,13,171
31,3283,Iaçu,5,170
31,3357,Remanso,5,170
81,8411,Lajeado,9,170
31,3313,Piatã,5,169
14,1452,Lavras da Mangabeira,11,169
40,4076,Delfim Moreira,3,169
91,9190,Ponta Porã,3,169
71,7207,São Mateus do Sul,5,169
81,8406,Encantado,5,169
60,6433,São Carlos,5,169
40,4054,Campestre,3,168
71,7200,Cruz Machado,3,168
14,1470,Pacatuba,11,167
91,9184,Corguinho,3,167
21,2196,Tacaratu,3,167
71,7345,Santo Antônio da Platina,5,167
81,8314,Iraí,11,167
60,6503,Auriflama,3,167
14,1547,Quixadá,23,166
40,4212,Coração de Jesus,13,166
19,2033,Pilar,3,166
71,7268,Toledo,13,166
31,3147,Potiraguá,3,165
31,3326,Jacaraci,9,165
14,1470,Pacatuba,5,165
14,1517,Caucaia,5,165
40,4049,Caldas,7,165
40,4210,Bocaiúva,3,165
40,4330,Sabinópolis,3,165
40,4312,Dom Joaquim,3,164
40,4444,Muriaé,3,164
19,2012,Cajazeiras,5,164
81,8408,Estrela,9,164
40,4507,Serro,3,163
40,4532,Conselheiro Lafaiete,7,163
71,7321,Florestópolis,5,163
14,1455,Várzea Alegre,5,162
40,4135,São Gonçalo do Sapucaí,3,162
40,4736,Pará de Minas,7,162
81,8356,Marau,5,162
14,1532,Uruoca,3,161
40,4093,Itamonte,3,161
71,7240,Laranjeiras do Sul,9,161
81,8210,Nova Prata,11,161
81,8258,General Câmara,5,161
81,8270,Triunfo,7,161
31,3310,Morro do Chapéu,13,160
40,4503,Diamantina,13,160
71,7193,Ortigueira,3,160
81,8204,Caxias do Sul,5,160
81,8270,Triunfo,5,160
31,3384,Senhor do Bonfim,5,159
71,7207,São Mateus do Sul,7,159
71,7237,Guaíra,5,159
60,6002,São Sebastião,3,159
14,1468,Maranguape,3,158
40,4422,Eugenópolis,3,158
40,4431,Juiz de Fora,7,158
40,4810,Patos de Minas,9,158
71,7141,Contenda,3,158
71,7153,Campo Largo,11,158
71,7190,Cândido de Abreu,3,158
81,8405,Dois Irmãos,3,158
31,3313,Piatã,11,157
40,4480,Simonésia,3,157
40,4601,Barbacena,5,157
40,4714,Córrego Danta,3,157
91,9116,Poxoréo,3,156
71,7142,Jaguariaíva,3,156
52,5221,Cambuci,11,156
81,8264,Rio Pardo,3,156
60,6101,Eldorado,3,156
