uf60,code_muni_1960,name_muni_1960,code_district_1960,name_district_1960,name_bairro_1960,tipo,zona_cod,zona,pagina,fonte
21,2117,Catende,03,Belém de Maria,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2117,Catende,05,La je Grande,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2118,Cortês,01,Cortês,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2119,Escada,01,Escada,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2120,Gameleira,01,Gameleira,,distrito,212,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
21,2120,Gameleira,03,CUÍAMBUSA ac ceira,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2121,Goiana,01,Goiana,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2121,Goiana,03,Condado,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2121,Goiana,05,Itaquitinga,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2121,Goiana,07,Fontas de Pedra,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2121,Goiana,09,Tejucopapo,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2122,Igarassu,01,Igarassu,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2122,Igarassu,03,Araçoiaba,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2122,Igarassu,05,Tlamaraçã,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2122,Igarassu,07,Itapissuma Aee,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2122,Igarassu,09,Nova Crue caes saniaoas aorta,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2122,Igarassu,31,Três Ladeiras TEIA A,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2123,Ipojuca,01,Ipojuca,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2123,Ipojuca,03,Camela,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2124,Jaboatão,01,Jaboatão,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2124,Jaboatão,03,Cavaleiro,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2124,Jaboatão,05,Muribeca dos Guararapes,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2125,Joaquim Nabuco,01,Joaquim Nabuco,,distrito,,Zona do Litoral,67,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2126,Macaparana,01,Macaparana,,distrito,212,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
21,2127,Maraial,01,Maraial,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2127,Maraial,05,Sertãozinho de Baixo,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2128,Moreno,01,Moreno,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2129,Nazaré da Mata,01,Nazaré da Mata,,distrito,212,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
21,2129,Nazaré da Mata,03,Buenos Aires,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2129,Nazaré da Mata,05,Tracunhaém,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2130,Olinda,01,Olinda,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2131,Palmares,01,Palmares,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2132,Paudalho,01,Paudalho,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2133,Paulista,01,Paulista,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2133,Paulista,07,Fraia dae Conceição,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2134,Quipapá,01,Quipapá,,distrito,213,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
21,2134,Quipapá,03,Igarapeba ecran,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,01,Recife,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,05,Bon Viagem,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,07,Pau-Fperro,,distrito,,Zona do Litoral,68,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2135,Recife,09,Casa Amareliê,,distrito,,Zona do Litoral,69,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
